ID : 2, AGE : 0, X = 276, Y : 181, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0.786002, PMR: 0.05
ID : 4, AGE : 0, X = 177, Y : 11, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0.760475, PMR: 0.05
ID : 5, AGE : 0, X = 586, Y : 203, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 6, AGE : 0, X = 28, Y : 155, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 7, AGE : 0, X = 59, Y : 208, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 9, AGE : 0, X = 16, Y : 303, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0.00416161, PMR: 0.05
ID : 10, AGE : 0, X = 367, Y : 354, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 11, AGE : 0, X = 291, Y : 408, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 12, AGE : 0, X = 178, Y : 408, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 14, AGE : 0, X = 492, Y : 5, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0.651132, PMR: 0.05
ID : 15, AGE : 0, X = 437, Y : 147, V : 6.92779e-310, O : 8.5424e-321, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 17, AGE : 0, X = 542, Y : 431, V : 0, O : 0, BHV : Grégaire CAM : 0.621823, PMR: 0.05
ID : 18, AGE : 0, X = 306, Y : 42, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 20, AGE : 0, X = 172, Y : 59, V : 0, O : 0, BHV : Grégaire CAM : 0.361601, PMR: 0.05
ID : 22, AGE : 0, X = 563, Y : 79, V : 0, O : 0, BHV : Grégaire CAM : 0.188201, PMR: 0.05
ID : 23, AGE : 0, X = 306, Y : 284, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 24, AGE : 0, X = 178, Y : 167, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 25, AGE : 0, X = 261, Y : 433, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
