ID : 2, AGE : 0, X = 0, Y : -1120826208, V : 4.63693e-310, O : -4.63693e-310, BHV : Grégaire CAM : 0.786002, PMR: 0.05
ID : 4, AGE : 0, X = 0, Y : -1120826208, V : 4.63693e-310, O : -4.63693e-310, BHV : Grégaire CAM : 0.126075, PMR: 0.05
ID : 6, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0.584489, PMR: 0.05
ID : 8, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0.521563, PMR: 0.05
ID : 10, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0.52021, PMR: 0.05
ID : 11, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 12, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 13, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 15, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0.747803, PMR: 0.05
ID : 17, AGE : 0, X = 32701, Y : 0, V : 0, O : 3.14159, BHV : Grégaire CAM : 0.163968, PMR: 0.05
ID : 19, AGE : 0, X = 32701, Y : 0, V : 0, O : 3.14159, BHV : Grégaire CAM : 0.231428, PMR: 0.05
ID : 21, AGE : 0, X = 32701, Y : 0, V : 0, O : 3.14159, BHV : Grégaire CAM : 0.471483, PMR: 0.05
ID : 22, AGE : 0, X = 32701, Y : 0, V : 4.63693e-310, O : 3.14159, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 24, AGE : 0, X = 21851, Y : -1120826208, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.695984, PMR: 0.05
ID : 26, AGE : 0, X = 21851, Y : -1120826208, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.920914, PMR: 0.05
ID : 28, AGE : 0, X = 21851, Y : -1120826208, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.361601, PMR: 0.05
ID : 30, AGE : 0, X = 21851, Y : -1120826208, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.827391, PMR: 0.05
ID : 32, AGE : 0, X = 21851, Y : -1120826240, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.774273, PMR: 0.05
ID : 33, AGE : 0, X = 21851, Y : -1120826240, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 35, AGE : 0, X = 21851, Y : -1120826240, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.180421, PMR: 0.05
ID : 37, AGE : 0, X = 21851, Y : -1120826240, V : 4.63693e-310, O : -40.8407, BHV : Grégaire CAM : 0.121259, PMR: 0.05
