ID : 2, AGE : 0, X = 0, Y : -1280901984, V : 4.65857e-310, O : 4.65857e-310, BHV : Multiple CAM : 0.447034, PMR: 0.05
ID : 3, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 5, AGE : 0, X = 0, Y : -1280901984, V : 4.65857e-310, O : 4.65857e-310, BHV : Prévoyante CAM : 0.79347, PMR: 0.05
ID : 6, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 7, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 8, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Peureuse CAM : 0, PMR: 0.05
ID : 10, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Kamikaze CAM : 0.530808, PMR: 0.05
ID : 11, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Kamikaze CAM : 0, PMR: 0.05
ID : 12, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 13, AGE : 0, X = 32518, Y : 0, V : 4.65857e-310, O : 0, BHV : Multiple CAM : 0, PMR: 0.05
ID : 15, AGE : 0, X = 32518, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0.00323146, PMR: 0.05
ID : 17, AGE : 0, X = 32518, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0.413984, PMR: 0.05
ID : 18, AGE : 0, X = 32518, Y : 0, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 19, AGE : 0, X = 32518, Y : 0, V : 0, O : 0, BHV : Prévoyante CAM : 0, PMR: 0.05
ID : 21, AGE : 0, X = 32518, Y : 0, V : 0, O : 0, BHV : Multiple CAM : 0.436497, PMR: 0.05
ID : 23, AGE : 0, X = 21953, Y : -1280901984, V : 4.65857e-310, O : -257.611, BHV : Kamikaze CAM : 0.793657, PMR: 0.05
ID : 25, AGE : 0, X = 21953, Y : -1280901984, V : 4.65857e-310, O : -257.611, BHV : Prévoyante CAM : 0.848942, PMR: 0.05
ID : 27, AGE : 0, X = 21953, Y : -1280901984, V : 4.65857e-310, O : -257.611, BHV : Peureuse CAM : 0.498525, PMR: 0.05
